"party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","total_num_ads","total_spend_formatted","custom_audience_type","detailed_type"
"ΜέΡΑ25","All",1,1,"gender",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","Women",0,0,"gender",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","Men",0,0,"gender",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","Athens, Greece",1,1,"location","CITY",FALSE,1,"≤€100",NA,NA
"ΜέΡΑ25","13",0,0,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","14",0,0,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","15",0,0,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","16",0,0,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","17",0,0,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","18",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","19",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","20",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","21",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","22",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","23",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","24",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","25",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","26",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","27",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","28",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","29",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","30",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","31",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","32",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","33",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","34",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","35",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","36",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","37",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","38",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","39",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","40",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","41",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","42",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","43",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","44",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","45",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","46",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","47",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","48",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","49",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","50",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","51",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","52",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","53",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","54",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","55",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","56",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","57",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","58",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","59",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","60",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","61",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","62",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","63",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","64",1,1,"age",NA,NA,1,"≤€100",NA,NA
"ΜέΡΑ25","65+",1,1,"age",NA,NA,1,"≤€100",NA,NA
