Foreign_Prisoners_Percentage_2023,Country_Code,eu_countries_gr,Country_En
31.21,ES,Ισπανία,Spain
54.31,EL,Ελλάδα,Greece
3.52,LV,Λετονία,Latvia
8.44,CZ,Τσεχία,Czech Rep.
33.84,EE,Εσθονία,Estonia
3.36,LT,Λιθουανία,Lithuania
1.06,RO,Ρουμανία,Romania
16.13,SE,Σουηδία,Sweden
75.7,LU,Λουξεμβούργο,Luxembourg
32.14,IT,Ιταλια,Italy
51.93,MT,Μάλτα,Malta
20.02,FI,Φινλανδία,Finland
3.16,PL,Πολωνία,Poland
15.6,IE,Ιρλανδία,Ireland
22.81,NL,Ολλανδία,Netherlands
43.55,BE,Βέλγιο,Belgium
56.73,CY,Κύπρος,Cyprus
5.94,HU,Ουγγαρία,Hungary
17.5,HR,Κροατία,Croatia
26.65,DK,Δανία,Denmark
33.94,SI,Σλοβενία,Slovenia
2.95,BG,Βουλγαρία,Bulgaria
5.19,SK,Σλοβακία,Slovakia
52.81,AT,Αυστρία,Austria
24.81,FR,Γαλλία,France
16.65,PT,Πορτογαλία,Portugal
