date,Greece,EU_Total,EU_Median
1995,8.4,5.9,4.0
1996,8.5,5.8,4.7
1997,7.5,5.7,4.8
1998,9.1,5.7,4.7
1999,9.2,5.8,4.7
2000,9.3,5.8,4.8
2001,8.2,5.6,4.6
2002,8.3,5.6,4.5
2003,9.2,5.7,4.8
2004,10.2,5.9,5.1
2005,9.0,6.1,4.9
2006,10.2,6.4,5.5
2007,11.0,6.4,5.5
2008,8.2,6.1,5.2
2009,6.6,5.5,4.7
2010,5.2,5.3,3.7
2011,4.9,5.1,3.7
2012,3.3,5.0,3.3
2013,2.4,4.8,3.4
2014,1.1,4.8,3.1
2015,0.8,4.7,3.5
2016,0.7,4.9,4.0
2017,0.6,5.0,3.6
2018,0.7,5.1,4.0
2019,0.8,5.2,3.9
2020,1.1,5.5,4.1
2021,1.3,5.8,4.8
2022,2.0,6.0,4.8
2023,2.3,5.8,4.1
2024,2.6,5.3,4.0
2025,,,5.75
